date,variable,value,value01
1967-07-01,pce,506.7,0.0
1967-08-01,pce,509.8,0.0002652497197765077
1967-09-01,pce,515.6,0.0007615233890357775
1967-10-01,pce,512.2,0.00047060434153896666
1967-11-01,pce,517.4,0.0009155393553576156
1967-12-01,pce,525.1,0.0015743854335121
1968-01-01,pce,530.9,0.0020706591027714
1968-02-01,pce,533.6,0.0023016830522541
1968-03-01,pce,544.3,0.0032172224076118
1968-04-01,pce,544.0,0.0031915530798915
1968-05-01,pce,549.8,0.0036878267491507
1968-06-01,pce,556.3,0.004243995516424
1968-07-01,pce,563.2,0.0048343900539911
1968-08-01,pce,567.0,0.0051595348717817
1968-09-01,pce,568.2,0.0052622121826629
1968-10-01,pce,571.6,0.0055531312301597
1968-11-01,pce,576.7,0.0059895098014049
1968-12-01,pce,576.5,0.005972396916258
1969-01-01,pce,583.5,0.0065713478963985
1969-02-01,pce,588.7,0.0070162829102172
1969-03-01,pce,588.9,0.0070333957953641
1969-04-01,pce,593.9,0.0074612179240359
1969-05-01,pce,600.3,0.0080088302487357
1969-06-01,pce,600.9,0.0080601689041764
1969-07-01,pce,602.7,0.0082141848704982
1969-08-01,pce,609.9,0.0088302487357856
1969-09-01,pce,613.2,0.0091126113407089
1969-10-01,pce,618.5,0.009566102797101
1969-11-01,pce,620.5,0.0097372316485697
1969-12-01,pce,622.8,0.0099340298277588
1970-01-01,pce,628.7,0.0104388599395915
1970-02-01,pce,634.0,0.0108923513959836
1970-03-01,pce,632.3,0.0107468918722351
1970-04-01,pce,636.0,0.0110634802474523
1970-05-01,pce,642.4,0.0116110925721522
1970-06-01,pce,646.3,0.0119447938325161
1970-07-01,pce,648.5,0.0121330355691317
1970-08-01,pce,652.9,0.0125095190423629
1970-09-01,pce,659.1,0.0130400184819159
1970-10-01,pce,658.3,0.0129715669413284
1970-11-01,pce,656.6,0.01282610741758
1970-12-01,pce,665.6,0.0135961872491892
1971-01-01,pce,676.1,0.0144946137194
1971-02-01,pce,679.4,0.0147769763243234
1971-03-01,pce,682.0,0.0149994438312327
1971-04-01,pce,688.8,0.0155812819262263
1971-05-01,pce,691.1,0.0157780801054153
1971-06-01,pce,699.8,0.0165224906093042
1971-07-01,pce,698.9,0.0164454826261433
1971-08-01,pce,704.9,0.0169588691805494
1971-09-01,pce,713.0,0.0176519410289977
1971-10-01,pce,715.8,0.0178915214210539
1971-11-01,pce,720.9,0.0183278999922992
1971-12-01,pce,728.4,0.0189696331853068
1972-01-01,pce,731.5,0.0192348829050833
1972-02-01,pce,736.2,0.0196370357060348
1972-03-01,pce,749.2,0.0207493732405815
1972-04-01,pce,752.5,0.0210317358455048
1972-05-01,pce,758.0,0.0215023401870438
1972-06-01,pce,761.6,0.0218103721196875
1972-07-01,pce,769.9,0.0225205568532826
1972-08-01,pce,776.3,0.0230681691779825
1972-09-01,pce,781.1,0.0234788784215074
1972-10-01,pce,794.9,0.0246596674966416
1972-11-01,pce,800.5,0.025138828280754
1972-12-01,pce,806.1,0.0256179890648663
1973-01-01,pce,816.5,0.0265078590925037
1973-02-01,pce,825.8,0.0273036082518332
1973-03-01,pce,832.8,0.0279025592319737
1973-04-01,pce,835.7,0.0281506960666033
1973-05-01,pce,841.6,0.028655526178436
1973-06-01,pce,844.3,0.0288865501279188
1973-07-01,pce,854.1,0.0297250815001155
1973-08-01,pce,853.3,0.029656629959528
1973-09-01,pce,869.2,0.0310171043287043
1973-10-01,pce,868.2,0.0309315399029699
1973-11-01,pce,876.9,0.0316759504068588
1973-12-01,pce,876.6,0.0316502810791385
1974-01-01,pce,884.5,0.0323262400424399
1974-02-01,pce,889.7,0.0327711750562586
1974-03-01,pce,901.4,0.0337722788373505
1974-04-01,pce,910.8,0.0345765844392535
1974-05-01,pce,922.4,0.035569131777772
1974-06-01,pce,928.0,0.0360482925618844
1974-07-01,pce,937.9,0.0368953803766546
1974-08-01,pce,954.8,0.0383414191715652
1974-09-01,pce,955.1,0.0383670884992855
1974-10-01,pce,959.2,0.0387179026447964
1974-11-01,pce,956.2,0.0384612093675933
1974-12-01,pce,961.8,0.0389403701517057
1975-01-01,pce,975.6,0.0401211592268398
1975-02-01,pce,989.4,0.0413019483019739
1975-03-01,pce,990.6,0.0414046256128552
1975-04-01,pce,995.0,0.0417811090860863
1975-05-01,pce,1018.9,0.0438260988611375
1975-06-01,pce,1026.8,0.0445020578244389
1975-07-01,pce,1039.8,0.0456143953589855
1975-08-01,pce,1047.0,0.0462304592242729
1975-09-01,pce,1054.8,0.0468978617450008
1975-10-01,pce,1060.9,0.0474198047419804
1975-11-01,pce,1075.8,0.0486947146854223
1975-12-01,pce,1092.1,0.0500894148248923
1976-01-01,pce,1107.1,0.0513728812109077
1976-02-01,pce,1107.7,0.0514242198663483
1976-03-01,pce,1114.9,0.0520402837316357
1976-04-01,pce,1125.4,0.0529387102018464
1976-05-01,pce,1122.7,0.0527076862523637
1976-06-01,pce,1140.5,0.0542307330304352
1976-07-01,pce,1149.6,0.0550093693046179
1976-08-01,pce,1158.0,0.0557281104807865
1976-09-01,pce,1168.8,0.0566522062787175
1976-10-01,pce,1176.8,0.0573367216845924
1976-11-01,pce,1189.0,0.0583806076785515
1976-12-01,pce,1211.5,0.0603058072575745
1977-01-01,pce,1215.0,0.0606052827476448
1977-02-01,pce,1231.3,0.0619999828871148
1977-03-01,pce,1238.3,0.0625989338672553
1977-04-01,pce,1247.3,0.0633690136988645
1977-05-01,pce,1257.1,0.0642075450710612
1977-06-01,pce,1263.6,0.0647637138383345
1977-07-01,pce,1280.5,0.0662097526332452
1977-08-01,pce,1285.7,0.0666546876470638
1977-09-01,pce,1294.5,0.0674076545935262
1977-10-01,pce,1311.4,0.0688536933884368
1977-11-01,pce,1327.0,0.0701884984298927
1977-12-01,pce,1336.0,0.070958578261502
1978-01-01,pce,1329.5,0.0704024094942286
1978-02-01,pce,1355.1,0.0725928587930282
1978-03-01,pce,1377.5,0.0745095019294778
1978-04-01,pce,1396.4,0.0761266695758571
1978-05-01,pce,1412.0,0.0774614746173131
1978-06-01,pce,1425.8,0.0786422636924472
1978-07-01,pce,1426.8,0.0787278281181815
1978-08-01,pce,1447.0,0.0804562295180155
1978-09-01,pce,1452.9,0.0809610596298483
1978-10-01,pce,1466.9,0.0821589615901293
1978-11-01,pce,1480.6,0.0833311942226899
1978-12-01,pce,1496.5,0.0846916685918662
1979-01-01,pce,1502.4,0.0851964987036989
1979-02-01,pce,1517.8,0.086514190860008
1979-03-01,pce,1531.2,0.0876607541648484
1979-04-01,pce,1538.4,0.0882768180301358
1979-05-01,pce,1558.8,0.0900223323151166
1979-06-01,pce,1575.7,0.0914683711100273
1979-07-01,pce,1586.1,0.0923582411376646
1979-08-01,pce,1615.6,0.0948823916968281
1979-09-01,pce,1633.9,0.0964482206877668
1979-10-01,pce,1641.6,0.0971070667659214
1979-11-01,pce,1657.3,0.0984504282499508
1979-12-01,pce,1666.3,0.09922050808156
1980-01-01,pce,1697.3,0.101873005279325
1980-02-01,pce,1701.4,0.1022238194248359
1980-03-01,pce,1708.2,0.1028056575198295
1980-04-01,pce,1695.2,0.1016933199852829
1980-05-01,pce,1700.1,0.1021125856713812
1980-06-01,pce,1718.8,0.1037126404326137
