"id","name","city","state","longitude","latitude"
92,"Fayetteville Municipal","Fayetteville","NC",-78.88,34.99147222
93,"Glacier Park Intl","Kalispell","MT",-114.2550694,48.31140472
94,"Flagstaff Pulliam","Flagstaff","AZ",-111.6712183,35.13845472
95,"Fort Lauderdale-Hollywood Int'l","Ft. Lauderdale","FL",-80.15275,26.07258333
96,"Florence Regional","Florence","SC",-79.72388889,34.18536111
97,"Bishop","Flint","MI",-83.74345639,42.96550333
98,"Joe Foss","Sioux Falls","SD",-96.74170028,43.58135111
99,"Fort Smith Regional","Fort Smith","AR",-94.36744111,35.33659028
100,"Fort Wayne International","Fort Wayne","IN",-85.19514639,40.97846583
101,"Gillette-Campbell County","Gillette","WY",-105.5393614,44.34889806
102,"Spokane Intl","Spokane","WA",-117.5338425,47.61985556
103,"Grand Forks International","Grand Forks","ND",-97.17611111,47.949255
104,"Gregg County","Longview","TX",-94.71171,32.38486111
105,"Walker","Grand Junction","CO",-108.5267347,39.1224125
106,"Gainesville Regional","Gainesville","FL",-82.27177778,29.69005556
107,"Gulfport-Biloxi Regional","Gulfport-Biloxi","MS",-89.07009278,30.40728028
108,"Austin Straubel International","Green Bay","WI",-88.12959,44.48507333
109,"Robert Gray AAF","Killeen","TX",-97.82779778,31.06489778
110,"Kent County International","Grand Rapids","MI",-85.52276778,42.88081972
111,"Piedmont Triad International","Greensboro","NC",-79.9372975,36.09774694
112,"Greenville-Spartanburg","Greer","SC",-82.21885833,34.89566722
113,"Great Falls Intl","Great Falls","MT",-111.3706853,47.48200194
114,"Golden Triangle Regional","Columbus-Starkville-West Point","MS",-88.59136861,33.45033444
115,"Gunnison County","Gunnison","CO",-106.9331817,38.53396333
116,"Yampa Valley","Hayden","CO",-107.2176597,40.48118028
117,"Hilton Head",NA,NA,-80.697629,32.224384
118,"Helena Regional","Helena","MT",-111.9827503,46.60681806
119,"William P Hobby","Houston","TX",-95.27888889,29.64541861
120,"Westchester Cty","White Plains","NY",-73.70757444,41.06695778
121,"Valley International","Harlingen","TX",-97.65439389,26.22850611
122,"Huntsville International","Huntsville","AL",-86.77310944,34.6404475
123,"Tri-State/Walker-Long","Huntington","WV",-82.55802778,38.36666667
124,"Washington Dulles International","Chantilly","VA",-77.45580972,38.94453194
125,"George Bush Intercontinental","Houston","TX",-95.33972222,29.98047222
126,"Wichita Mid-Continent","Wichita","KS",-97.43304583,37.64995889
127,"Idaho Falls Regional","Idaho Falls","ID",-112.0701667,43.51455556
128,"Wilmington International","Wilmington","NC",-77.90255556,34.27061111
129,"Indianapolis International","Indianapolis","IN",-86.29438417,39.71732917
130,"Falls International","International Falls","MN",-93.40306667,48.56618722
131,"Imperial County","Imperial","CA",-115.5787456,32.83422028
132,"Long Island - MacArthur","Islip","NY",-73.10021194,40.7952425
133,"Tompkins Cty","Ithaca","NY",-76.45844444,42.49102778
134,"Inyokern","Inyokern","CA",-117.8295122,35.65884306
135,"Jackson Hole","Jackson","WY",-110.7377389,43.60732417
136,"Jackson International","Jackson","MS",-90.07588889,32.31116667
137,"Jacksonville International","Jacksonville","FL",-81.68786111,30.49405556
138,"John F Kennedy Intl","New York","NY",-73.77892556,40.63975111
139,"Capital City","Lansing","MI",-84.58735806,42.7787
140,"McCarran International","Las Vegas","NV",-115.1523333,36.08036111
141,"Lawton-Ft Sill Regional","Lawton","OK",-98.41663667,34.56771444
142,"Los Angeles International","Los Angeles","CA",-118.4080744,33.94253611
143,"Lubbock International","Lubbock","TX",-101.8227778,33.66363889
144,"Lake Charles Regional","Lake Charles","LA",-93.22340361,30.1260975
145,"Blue Grass","Lexington","KY",-84.60538889,38.03697222
146,"Lafayette Regional","Lafayette","LA",-91.987655,30.20527972
147,"LaGuardia","New York","NY",-73.87260917,40.77724306
148,"Long Beach (Daugherty)","Long Beach","CA",-118.1516111,33.81772222
149,"Adams","Little Rock","AR",-92.22424556,34.72939611
150,"Klamath Falls International","Klamath Falls","OR",-121.7332081,42.15614361
151,"Lincoln Municipal","Lincoln","NE",-96.75925,40.85097222
152,"Laredo International","Laredo","TX",-99.46154361,27.54373861
153,"La Crosse Municipal","La Crosse","WI",-91.25653778,43.87937972
154,"Greenbrier Valley","Lewisburg","WV",-80.39947222,37.85830556
155,"Lewiston-Nez Perce County","Lewiston","ID",-117.0153944,46.37449806
156,"Lynchburg Municipal-Preston Glenn","Lynchburg","VA",-79.20043056,37.32668528
157,"Midland International","Midland","TX",-102.2019139,31.94252778
158,"Mbs International","Saginaw","MI",-84.07964722,43.53291472
159,"Kansas City International","Kansas City","MO",-94.71390556,39.29760528
160,"Middle Georgia Regional","Macon","GA",-83.64921083,32.69284944
161,"Orlando International","Orlando","FL",-81.31602778,28.42888889
162,"Harrisburg Intl","Harrisburg","PA",-76.76340361,40.19349528
163,"Chicago Midway","Chicago","IL",-87.75242444,41.7859825
164,"Key","Meridian","MS",-88.75120556,32.33313333
165,"Memphis International","Memphis","TN",-89.97666667,35.04241667
166,"McAllen Miller International","McAllen","TX",-98.23861111,26.17583333
167,"Rogue Valley International","Medford","OR",-122.8734978,42.37422778
168,"Montgomery Regional Apt","Montgomery","AL",-86.39397611,32.30064417
169,"Manchester","Manchester","NH",-71.43705583,42.93451639
170,"Miami International","Miami","FL",-80.29055556,25.79325
171,"General Mitchell International","Milwaukee","WI",-87.89658333,42.94722222
172,"Muskegon County","Muskegon","MI",-86.23822306,43.16948806
173,"Melbourne International","Melbourne","FL",-80.64580556,28.10275
174,"Quad City","Moline","IL",-90.50753917,41.44852639
175,"Monroe Regional","Monroe","LA",-92.03768778,32.51086556
176,"Mobile Regional","Mobile","AL",-88.24283333,30.69141667
177,"Modesto City-County-Harry Sham","Modesto","CA",-120.9544214,37.62581722
178,"Minot International","Minot","ND",-101.2803339,48.25937778
179,"Marquette County Airport",NA,NA,-87.395361,46.353639
180,"Monterey Peninsula","Monterey","CA",-121.8429478,36.5869825
181,"Dane County Regional","Madison","WI",-89.33751361,43.13985778
182,"Missoula International","Missoula","MT",-114.0905556,46.91630556
183,"Minneapolis-St Paul Intl","Minneapolis","MN",-93.2169225,44.88054694
184,"New Orleans International","New Orleans","LA",-90.25802778,29.99338889
185,"Montrose Regional","Montrose","CO",-107.8938333,38.50886722
186,"Myrtle Beach International","Myrtle Beach","SC",-78.92833333,33.67975
187,"Albert J Ellis","Jacksonville","NC",-77.61213778,34.82916444
188,"Metropolitan Oakland International","Oakland","CA",-122.2207167,37.72129083
189,"Ogden-Hinckley","Ogden","UT",-112.012175,41.19594417
190,"Will Rogers World","Oklahoma City","OK",-97.60073389,35.39308833
191,"Eppley Airfield","Omaha","NE",-95.89417306,41.30251861
192,"Ontario International","Ontario","CA",-117.6011944,34.056
193,"Chicago O'Hare International","Chicago","IL",-87.90446417,41.979595
194,"Norfolk International","Norfolk","VA",-76.20122222,36.89461111
195,"North Bend Muni","North Bend","OR",-124.2460278,43.41713889
196,"Oxnard","Oxnard","CA",-119.2072164,34.20080083
197,"Palm Beach International","West Palm Beach","FL",-80.09559417,26.68316194
198,"Portland Intl","Portland","OR",-122.5975,45.58872222
199,"Panama City-Bay County International","Panama City","FL",-85.68280556,30.21208333
200,"Newport News/Williamsburg International","Newport News","VA",-76.4929875,37.13189556
201,"Philadelphia Intl","Philadelphia","PA",-75.24114083,39.87195278
202,"Phoenix Sky Harbor International","Phoenix","AZ",-112.0080556,33.43416667
203,"Greater Peoria Regional","Peoria","IL",-89.69330556,40.66424333
204,"Pocatello Regional","Pocatello","ID",-112.5958611,42.91130556
205,"Pierre Regional","Pierre","SD",-100.285965,44.38267694
206,"Pittsburgh International","Pittsburgh","PA",-80.23287083,40.49146583
207,"Pellston Regional  of Emmet County","Pellston","MI",-84.796715,45.5709275
208,"Palmdale Production Flight","Palmdale","CA",-118.0845528,34.62938889
209,"Pensacola Regional","Pensacola","FL",-87.18744444,30.47330556
210,"Tri-Cities","Pasco","WA",-119.1190292,46.26468028
211,"Palm Springs International","Palm Springs","CA",-116.5062531,33.82921556
212,"Pueblo Memorial","Pueblo","CO",-104.4965722,38.28908722
213,"Theodore F Green State","Providence","RI",-71.42822111,41.72399917
214,"Portland International Jetport","Portland","ME",-70.30875,43.64616667
215,"Rapid City Regional","Rapid City","SD",-103.0573708,44.04532139
216,"Redding Municipal","Redding","CA",-122.2934019,40.50898361
217,"Roberts","Redmond","OR",-121.1499633,44.25406722
218,"Raleigh-Durham International","Raleigh","NC",-78.78747222,35.87763889
219,"Greater Rockford","Rockford","IL",-89.09721111,42.19536389
220,"Rhinelander-Oneida County","Rhinelander","WI",-89.46745361,45.63119306
221,"Richmond International","Richmond","VA",-77.31966667,37.50516667
222,"Rock Springs-Sweetwater County","Rock Springs","WY",-109.0651928,41.5942175
223,"Reno/Tahoe International","Reno","NV",-119.7680647,39.49857611
224,"Roanoke Regional/ Woodrum","Roanoke","VA",-79.97542833,37.32546833
225,"Greater Rochester Int'l","Rochester","NY",-77.67238389,43.11886611
226,"Roswell Industrial Air Center","Roswell","NM",-104.5305556,33.30155556
227,"Rochester International","Rochester","MN",-92.49798722,43.90882639
228,"Southwest Florida International","Ft. Myers","FL",-81.75516667,26.53616667
229,"San Diego International-Lindbergh","San Diego","CA",-117.1896567,32.73355611
230,"San Antonio International","San Antonio","TX",-98.46977778,29.53369444
231,"Savannah International","Savannah","GA",-81.20213889,32.12758333
232,"Santa Barbara Municipal","Santa Barbara","CA",-119.8403733,34.42621194
233,"South Bend Regional","South Bend","IN",-86.31847417,41.70895361
234,"San Luis Obispo Co-McChesney","San Luis Obispo","CA",-120.6423931,35.23705806
235,"University Park",NA,NA,-77.846302,40.851206
236,"Louisville International-Standiford","Louisville","KY",-85.736,38.17438889
237,"Seattle-Tacoma Intl","Seattle","WA",-122.3093131,47.44898194
238,"San Francisco International","San Francisco","CA",-122.3748433,37.61900194
239,"Springfield-Branson Regional","Springfield","MO",-93.38685806,37.24432611
240,"St George Muni","St George","UT",-113.5930556,37.09058333
241,"Shreveport Regional","Shreveport","LA",-93.82559833,32.4466275
242,"San Jose International","San Jose","CA",-121.9290089,37.36186194
243,"San Angelo Regional /Mathis","San Angelo","TX",-100.4963056,31.35775
244,"Salt Lake City Intl","Salt Lake City","UT",-111.9777731,40.78838778
245,"McNary Fld","Salem","OR",-123.0025,44.90952778
246,"Sacramento International","Sacramento","CA",-121.5907669,38.69542167
247,"Santa Maria Pub/Capt G Allan Hancock","Santa Maria","CA",-120.4575825,34.89924833
248,"John Wayne /Orange Co","Santa Ana","CA",-117.8682225,33.67565861
249,"Capital","Springfield","IL",-89.67761861,39.84395194
250,"Sheppard AFB/Wichita Falls Municipal","Wichita Falls","TX",-98.49189333,33.98879611
251,"Sarasota Bradenton International","Sarasota","FL",-82.55411111,27.39533333
252,"Lambert-St Louis International","St Louis","MO",-90.35998972,38.74768694
253,"Friedman Memorial","Hailey","ID",-114.2965903,43.50484139
254,"Sioux Gateway","Sioux City","IA",-96.38436694,42.40260333
255,"Stewart","Newburgh","NY",-74.10483833,41.50409361
256,"Syracuse-Hancock Intl","Syracuse","NY",-76.10631056,43.11118694
257,"Telluride Regional","Telluride","CO",-107.90848,37.95375861
258,"Tallahassee Regional","Tallahassee","FL",-84.35033333,30.39652778
259,"Toledo Express","Toledo","OH",-83.80783333,41.58680556
260,"Tampa International","Tampa","FL",-82.53325,27.97547222
261,"Tri-Cities Regional","Bristol","TN",-82.40742056,36.47521417
262,"Tulsa International","Tulsa","OK",-95.88824167,36.19837222
263,"Tupelo Municipal","Tupelo","MS",-88.769895,34.26810833
264,"Tucson International","Tucson","AZ",-110.9410278,32.11608333
265,"Cherry Capital","Traverse City","MI",-85.582235,44.74144472
266,"Joslin Field - Magic Valley","Twin Falls","ID",-114.4877356,42.48180389
267,"Texarkana Regional-Webb","Texarkana","AR",-93.99102,33.45370806
268,"Tyler Pounds","Tyler","TX",-95.40238611,32.35413889
269,"McGhee-Tyson","Knoxville","TN",-83.99285583,35.81248722
270,"Valdosta Regional","Valdosta","GA",-83.27672222,30.7825
271,"Eglin Air Force Base","Valparaiso","FL",-86.5254,30.48325
272,"Yellowstone","West Yellowstone","MT",-111.1176375,44.68839917
273,"Northwest Arkansas Regional","Fayetteville/Springdale/Rogers","AR",-94.30681111,36.28186944
274,"Yakima Air Terminal","Yakima","WA",-120.5440594,46.56816972
275,"Yuma MCAS-Yuma International","Yuma","AZ",-114.6059722,32.65658333
